category,subcategory,name,price,remark,scraped_at
處理器 CPU,Intel Core Ultra 200S系列1851 腳位【內建 NPU 支援 AI】,Intel Core Ultra 5 225F【10核】3.3G(↑4.9G) /20M /無內顯【代理盒裝】,4990,,2026-04-19 18:37:47
處理器 CPU,Intel Core Ultra 200S系列1851 腳位【內建 NPU 支援 AI】,Intel Core Ultra 5 225【10核】3.3G(↑4.9G) /20M /內顯Xe-core【代理盒裝】,5280,,2026-04-19 18:37:47
處理器 CPU,Intel Core Ultra 200S系列1851 腳位【內建 NPU 支援 AI】,Intel Core Ultra 5 235【14核】3.4G(↑5.0G) /24M /內顯Xe-core【代理盒裝】,7800,,2026-04-19 18:37:47
處理器 CPU,Intel Core Ultra 200S系列1851 腳位【內建 NPU 支援 AI】,Intel Core Ultra 5 245KF【14核】4.2G(↑5.2G) /24M /無內顯 /無風扇【代理盒裝】,6300,,2026-04-19 18:37:47
處理器 CPU,Intel Core Ultra 200S系列1851 腳位【內建 NPU 支援 AI】,Intel Core Ultra 5 245K【14核】4.2G(↑5.2G) /24M /內顯Xe-core /無風扇【代理盒裝】,6990,,2026-04-19 18:37:47
處理器 CPU,Intel Core Ultra 200S系列1851 腳位【內建 NPU 支援 AI】,Intel Core Ultra 7 265KF【20核】3.9G(↑5.4G) /30M /無內顯 /無風扇【代理盒裝】,9700,,2026-04-19 18:37:47
處理器 CPU,Intel Core Ultra 200S系列1851 腳位【內建 NPU 支援 AI】,Intel Core Ultra 7 265K【20核】3.9G(↑5.4G) /30M /內顯Xe-core /無風扇【代理盒裝】,10200,,2026-04-19 18:37:47
處理器 CPU,Intel Core Ultra 200S系列1851 腳位【內建 NPU 支援 AI】,Intel Core Ultra 9 285K【24核】3.7G(↑5.7G) /36M /內顯Xe-core /無風扇【代理盒裝】,18600,,2026-04-19 18:37:47
處理器 CPU,Intel Core Ultra 200S系列1851 腳位【內建 NPU 支援 AI】,Intel Core Ultra 5 250KF Plus【18核】4.2G(↑5.3G) /30M /無內顯 /無風扇【代理盒裝】,8300,,2026-04-19 18:37:47
處理器 CPU,Intel Core Ultra 200S系列1851 腳位【內建 NPU 支援 AI】,Intel Core Ultra 5 250K Plus【18核】4.2G(↑5.3G) /30M /內顯Xe-core /無風扇【代理盒裝】,8800,,2026-04-19 18:37:47
處理器 CPU,Intel Core Ultra 200S系列1851 腳位【內建 NPU 支援 AI】,Intel Core Ultra 7 270K Plus【24核】3.7G(↑5.4G) /36M /內顯Xe-core /無風扇【代理盒裝】,12500,,2026-04-19 18:37:47
處理器 CPU,Intel Raptor Lake-s 14代1700 腳位,Intel i3-14100【4核/8緒】3.5GHz(↑4.7GHz) /12M /UHD730 /60W 【代理盒裝】~限組裝~,4200,,2026-04-19 18:37:47
處理器 CPU,Intel Raptor Lake-s 14代1700 腳位,Intel i5-14400F【10核/16緒】2.5GHz(↑4.7G) /20M /無內顯 /65W 【代理盒裝】~限組裝~,5800,,2026-04-19 18:37:47
處理器 CPU,Intel Raptor Lake-s 14代1700 腳位,Intel i5-14400【10核/16緒】2.5GHz(↑4.7G) /20M /UHD730 /65W 【代理盒裝】~限組裝~,6600,,2026-04-19 18:37:47
處理器 CPU,Intel Raptor Lake-s 14代1700 腳位,Intel i7-14700F【20核/28緒】2.1GHz(↑5.4G) /33M /無內顯 /65W 【代理盒裝】~限組裝~,9999,,2026-04-19 18:37:47
處理器 CPU,Intel Raptor Lake-s 14代1700 腳位,Intel i7-14700【20核/28緒】2.1GHz(↑5.4G) /33M /UHD770 /65W 【代理盒裝】~限組裝~,11000,,2026-04-19 18:37:47
處理器 CPU,Intel Alder Lake-s 12代1700 腳位,Intel i5-12400F【6核/12緒】2.5G(↑4.4G) /18M /無內顯 /65w 【代理盒裝】~限組裝~,4500,,2026-04-19 18:37:47
處理器 CPU,Intel Alder Lake-s 12代1700 腳位,Intel i5-12400【6核/12緒】2.5G(↑4.4G) /18M /UHD730 /65w 【代理盒裝】~限組裝~,5150,,2026-04-19 18:37:47
處理器 CPU,Intel Sapphire Rapids Xeon W 4677腳位 『適W790主板』,Intel Xeon W5-2455X【12核/24緒】3.20GHz(↑4.6GHz) /30M /200W 【代理盒裝】,36700,,2026-04-19 18:37:47
處理器 CPU,Intel Sapphire Rapids Xeon W 4677腳位 『適W790主板』,Intel Xeon W9-3475X【36核/72緒】2.20GHz(↑4.8GHz) /82.5M /300W【代理盒裝】,132500,,2026-04-19 18:37:47
處理器 CPU,AMD AM4 腳位,AMD R5 3400G 代理盒裝【4核/8緒】3.7G(↑4.2G)65W /12nm /代理商三年保 /含內顯,2099,,2026-04-19 18:37:47
處理器 CPU,AMD AM4 腳位,AMD R5 5500GT 代理盒裝【6核/12緒】3.6G(↑4.4G)65W /含內顯/7nm,4190,,2026-04-19 18:37:47
處理器 CPU,AMD AM4 腳位,AMD R5 5500X3D 代理盒裝【6核/12緒】3.0G(↑4.0G)105W /96M /7nm,5390,,2026-04-19 18:37:47
處理器 CPU,AMD AM4 腳位,AMD R5 5600GT 代理盒裝【6核/12緒】3.6G(↑4.6G)65W /含內顯/7nm,4690,,2026-04-19 18:37:47
處理器 CPU,AMD AM5 7000系列,AMD R5 7500F MPK(含風扇)【6核/12緒】3.7G(↑5.0G)代理商三年保,4790,,2026-04-19 18:37:47
處理器 CPU,AMD AM5 7000系列,AMD R7 7700 MPK(代理含風扇)【8核/16緒】3.8G(↑5.3G)65W /具內顯 /代理商三年保,7190,,2026-04-19 18:37:47
處理器 CPU,AMD AM5 7000系列,AMD R7 7800X3D Tray盤【8核/16緒】4.2G(↑5.0G)96M/120W/具內顯三年保,9990,,2026-04-19 18:37:47
處理器 CPU,AMD AM5 8000系列,AMD R5 8400F盒【6核/12緒】4.2G(↑4.7G)65W,4950,,2026-04-19 18:37:47
處理器 CPU,AMD AM5 8000系列,AMD R5 8400F盒【6核/12緒】4.2G(↑4.7G)65W【任搭主機板】,4450,,2026-04-19 18:37:47
